,track_name,danceability,loudness,acousticness,instrumentalness,valence,energy,genre,,
297,the marching saints,0.54,-10.483,0.921,0.0104,0.736,0.392,pop,,
298,i must be dreaming,0.633,-8.446,0.1,0.487,0.0686,0.442,pop,,
299,one minute to one,0.568,-4.265,0.00671,0,0.879,0.636,pop,,
300,you alone,0.3,-8.088,0.307,6.36E-05,0.162,0.338,pop,,
301,all of me,0.422,-7.064,0.922,0,0.331,0.264,pop,,
302,love in bloom,0.657,-2.563,0.0325,5.94E-05,0.776,0.94,pop,,
303,all i need is you,0.606,-6.206,0.0157,0.000205,0.588,0.757,pop,,
304,tonight,0.686,-4.977,0.0764,0,0.814,0.783,pop,,
305,call me,0.783,-6.548,0.0114,2.28E-06,0.66,0.58,pop,,
306,run samson run,0.556,-7.816,0.574,0,0.946,0.601,pop,,
307,half breed,0.646,-12.678,0.524,0,0.877,0.467,pop,,
308,i have but one heart,0.382,-14.904,0.92,0.00309,0.264,0.205,pop,,
309,baby face,0.836,-8.629,0.158,0,0.277,0.54,pop,,
310,sama kama wacky brown,0.468,-12.93,0.75,0,0.963,0.616,pop,,
311,the sound of silence,0.322,-9.367,0.468,1.10E-06,0.175,0.28,pop,,
312,one way ticket,0.719,-9.227,0.319,6.51E-06,0.96,0.732,pop,,
313,don't pity me,0.648,-16.446,0.879,0.000216,0.435,0.165,pop,,
314,swing low,0.65,-9.852,0.858,0,0.79,0.471,pop,,
315,another sleepless night,0.58,-9.484,0.73,0,0.72,0.306,pop,,
316,it ain't necessarily so,0.446,-17.778,0.841,0,0.316,0.109,pop,,
317,stranger in paradise,0.172,-12.149,0.967,2.27E-05,0.145,0.264,pop,,
318,that's the way love is,0.638,-11.421,0.0111,9.45E-05,0.698,0.742,pop,,
319,a ride on a rainbow,0.541,-11.314,0.71,0.000247,0.224,0.376,pop,,
320,someone,0.501,-5.679,0.751,0,0.446,0.405,pop,,
321,you've made me so very happy,0.414,-9.105,0.253,0,0.452,0.501,pop,,
322,someone to need me (as i need you),0.529,-7.883,0.737,0,0.779,0.486,pop,,
323,i can't help it (if i'm still in love with you),0.677,-10.569,0.709,0,0.618,0.213,pop,,
324,it's all in the game,0.384,-13.527,0.038,0,0.654,0.276,pop,,
325,your cheating heart,0.672,-11.634,0.774,1.79E-05,0.689,0.243,pop,,
326,the japanese farewell song,0.415,-11.525,0.828,0,0.545,0.288,pop,,
327,i am a roving gambler,0.516,-14.158,0.485,0,0.96,0.423,pop,,
328,christmas auld land syne,0.274,-11.828,0.898,0,0.335,0.313,pop,,
329,"lakutshn, ilanga",0.388,-18.377,0.94,0,0.352,0.0462,pop,,
330,"oh, true love",0.667,-9.042,0.954,0.677,0.862,0.214,pop,,
331,you thrill me (through and through),0.442,-12.662,0.594,1.16E-06,0.654,0.471,pop,,
332,three nights a week,0.52,-13.283,0.45,3.12E-06,0.785,0.3,pop,,
333,with my eyes wide open i'm dreaming,0.549,-14.347,0.881,0,0.271,0.0815,pop,,
334,don't come knockin',0.67,-7.688,0.00406,0,0.313,0.717,pop,,
335,september song,0.614,-6.7,0.054,0,0.374,0.615,pop,,
336,you belong to my heart,0.462,-16.413,0.932,0.0385,0.494,0.218,pop,,
337,a hole in the bucket,0.407,-22.966,0.705,0,0.674,0.122,pop,,
338,sweet leilani,0.273,-16.847,0.993,0.0425,0.217,0.121,pop,,
339,memories are made of this,0.611,-15.977,0.918,0,0.556,0.179,pop,,
340,some sweet day,0.685,-13.762,0.79,1.31E-06,0.646,0.366,pop,,
341,at night,0.885,-9.196,0.000131,0.000664,0.691,0.477,pop,,
